section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3
data_talks,TRUE,"[Padilla Perez, D.J.](https://dylanpadilla.netlify.app/), DeNardo, D.F., Angilletta Jr., MJ. The correlated evolution of foraging mode and reproductive effort in lizards.",Evolution 2022 meeting (Jun 24-28),"Cleveland, OH",2022,2022,https://youtu.be/Dj1V7JM4P_4,,
data_talks,TRUE,"[Padilla Perez, D.J.](https://dylanpadilla.netlify.app/), Angilletta Jr., M.J. Macroclimatic and maternal effects on the evolution of reproductive traits in lizards.",ESEB 2022 (Aug 14-19),"Prague, Czech Republic",2022,2022,https://github.com/Dylan-Padilla/poster-ESEB2022/blob/main/index.pdf,Poster,
,TRUE,"[Padilla Perez, D.J.](https://dylanpadilla.netlify.app/), de Carvalho, J.E., Navas, C.A. Effects of food intake and hydration state on behavioral thermoregulation and locomotor activity in the tropidurid lizard _Tropidurus catalanensis_.",SICB 2022 (Jan 3-7),"Phoenix, AZ",2022,2022,Poster,,
,FALSE,"VandenBrooks, J.M., Youngblood, J.P., Vimmerstedt J.C., [Padilla Perez, D.J.](https://dylanpadilla.netlify.app/), Angilletta, M.J. Oxygen limitation of thermal tolerance varies based on life-history traits.",SICB 2022 (Jan 3-7),"Phoenix, AZ",2022,2022,,,
,TRUE,"[Padilla Perez, D.J.](https://dylanpadilla.netlify.app/), Angilletta Jr., M.J. Revisiting the role of environmental temperature on the evolution of reproductive tactics: a phylogenetic comparative analysis of lizards.",Virtual Evolution 2021 meeting (June 21-25),USA,2021,2021,,,
,FALSE,"[Padilla Perez, D.J.](https://dylanpadilla.netlify.app/). Experience with internationalization.",Federal University of Sao Paulo (UNIFESP),"Sao Paulo, Brazil",2021,2021,IV Day of Chemical Engineering and II Symposium of the Graduate Program in Chemical Engineering.,Invited speaker,
,FALSE,"Graham Z.A., [Padilla Perez, D.J.](https://dylanpadilla.netlify.app/), Angilletta Jr., M.J. Male and female crayfish virile (_Faxonius virilis_) communicate honestly during territorial contests.",University of Illinois at Chicago,"Chicago, IL",2019,2019,Animal Behavior Society meeting (Behavior 2019),,
,FALSE,"Vimmerstedt, J., [Padilla Perez, D.J.](https://dylanpadilla.netlify.app/), Youngblood, J., Schaefer, C., Lee, A., Quinlan, M., Angilletta Jr., M.J., Vandenbrooks, J. Testing the OCLTT in quail embryos by manipulating thyroid hormone.",SICB 2019,"Tampa, FL",2019,2019,Poster,,
,FALSE,"[Padilla Perez, D.J.](https://dylanpadilla.netlify.app/) Some topics on the evolution of thermal biology","Biosciences Institute, University of Sao Paulo","Sao Paulo, Brazil",2018,2018,XIV Winter course: Topics in Comparative Physiology.,Invited speaker,
,FALSE,"Agudelo Cantero, [Padilla Perez, D.J.](https://dylanpadilla.netlify.app/) Sharing the neighborhood: Implications of microhabitat partitioning on body temperature and vocalization rate in three species of Treefrogs (Anura: Hylidae).",II Colombian Congress of Herpetology,"Bogota, Colombia",2018,2018,,,
,FALSE,"[Padilla Perez, D.J.](https://dylanpadilla.netlify.app/), Murillo Monsalve, J.D., Rincon Baron, E.J., Daza, J.M. Non-specialized caudal pseudoautotomy in the Emerald Racer snake _Drymobius rhombifer_ (Gunther, 1860).",I Colombian Congress of Herpetology,"Medellin, Antioquia",2016,2016,,,
data_talks,TRUE,Phylogenetic Comparative Methods in R workshop,UMass at Boston (March 1-5),"Boston, Massachusetts",2023,2023,,,
data_talks,TRUE,Evolutionary Quantitative Genetics Workshop.,University of Washington (July 11-15),"Seattle, WA",2022,2022,,,
,FALSE,"Workshop: Organism-environment interactions: timing, plasticity, and metabolic adjustments.","Biosciences Institute, University of Sao Paulo","Sao Paulo, Brazil",2018,2018,,,
,FALSE,IV Workshop on Evolution and Diversity.,Federal University of ABC (October 19-21),"Sao Paulo, Brazil",2017,2017,,,
,FALSE," Neel, L.K., Youngblood, J.P., [Padilla Perez, D.J.](https://dylanpadilla.netlify.app/), Graham, Z.A., Sears, S., Angilletta, M.J. Thermal landscapes shape life history variation along an altitudinal gradient.",SICB 2023 (Jan 3-7),"Austin, TX",2023,2023,,,
data_com,TRUE,Mentoring,"<b>Bailey Kane</b>, undergraduate at Barrett, the Honors College at Arizona State University <br> <b>Rachel Doherty</b>, undergraduate student at Arizona State University","Tempe, AZ",2024,2024,Project: Fitness effects of the foraging mode paradigm,,
data_com,TRUE,"Diversity and microhabitat use by amphibians present in four plant coverages of the Brasilar reserve of Cerro de Maco, San Jacinto, Bolivar-Colombia.","<b>Jose Julio</b>, B.S. in Biology from the Universidad del Atlantico (2020)","Barranquilla, Colombia",2020,2020,Undergraduate thesis,,
data_com,TRUE,"Use of spatial and trophic resources by Anole species Daudin, 1982 (Squamata:Dactyloidae) in a fragment of tropical dry forest, Bolivar, Colombia.","<b>Ricardo Ortega</b>, B.S. in Biology from the Universidad del Atlantico (2020)","Barranquilla, Colombia",2020,2020,Undergraduate thesis,,
data_com,TRUE,Locomotor performance among males and females of the invasive amphibian _Eleutherodactylus johnstonei_.,"<b>Raphaela Batista</b>, B.S. in Biology from the Federal University of Sao Paulo (2017)","Sao Paulo, Brazil",2017,2017,Undergraduate thesis,,
data_com,TRUE,"Intraspecific comparative analysis of maternal body condition and offspring quality in the snake species _Pantherophis guttatus_ (Serpentes, Colubridae).","<b>Eduardo Dinelli</b>, B.S. in Biology from the Federal University of Sao Paulo (2017)","Sao Paulo, Brazil",2017,2017,Undergraduate thesis,,
data_mem,TRUE,Judge at the 29th Annual Undergraduate Research Symposium.,"Arizona State University (April 22, 2022)","Tempe, AZ",2022,2024,,,
data_mem,TRUE,Society for the Study of Evolution,,USA,2021,present,Acitve member,,
data_mem,TRUE,The American Society of Naturalists,,USA,2021,present,Active member of the Ameircan Society of Naturalits Diversity Committee,Current Graduate Student Representative of the American Society of Naturalits,
data_rev,TRUE,Evolutionary Applications,,,,,,,
data_rev,TRUE,Journal of Zoology,,,,,,,
data_rev,TRUE,Oikos,,,,,,,
data_lang,TRUE,English: B2-TOEFL,,,,,,,
data_lang,TRUE,Portuguese: Intermediate-advance (CELPE-BRAS),,,,,,,
data_lang,TRUE,Spanish: Good,,,,,,,
